         360
   gj         fig        sg         vg         ssv        ssv1       ttv        ttp        vg1        xp         yp         sg1        cp
   0.000000   1.233443   2.000000   0.800000  -0.904258  -0.895762  -0.077362  -0.077459   0.806826   0.000000   0.000000   1.751260   0.349032
   0.017453   1.233369   1.999669   0.800127  -0.905422  -0.898686  -0.063768  -0.082326   0.805535  -0.000092   0.000007   1.751168   0.351114
   0.034907   1.233146   1.999237   0.800293  -0.906459  -0.901446  -0.049982  -0.087385   0.804316  -0.000367   0.000031   1.750892   0.353076
   0.052360   1.232775   1.998693   0.800503  -0.907365  -0.904034  -0.036201  -0.092440   0.803174  -0.000827   0.000072   1.750430   0.354911
   0.069813   1.232255   1.998023   0.800762  -0.908132  -0.906443  -0.022179  -0.097735   0.802115  -0.001472   0.000134   1.749782   0.356611
   0.087266   1.231586   1.997216   0.801074  -0.908756  -0.908668  -0.008173  -0.103014   0.801143  -0.002303   0.000218   1.748947   0.358169
   0.104720   1.230767   1.996259   0.801444  -0.909228  -0.910702   0.006082  -0.108543   0.800264  -0.003320   0.000326   1.747924   0.359577
   0.122173   1.229798   1.995139   0.801879  -0.909545  -0.912537   0.020309  -0.114044   0.799483  -0.004523   0.000460   1.746713   0.360827
   0.139626   1.228680   1.993845   0.802383  -0.909698  -0.914168   0.034790  -0.119797   0.798805  -0.005913   0.000624   1.745314   0.361911
   0.157080   1.227412   1.992365   0.802962  -0.909683  -0.915587   0.049226  -0.125507   0.798235  -0.007489   0.000818   1.743726   0.362821
   0.174533   1.225994   1.990685   0.803621  -0.909491  -0.916787   0.063914  -0.131468   0.797779  -0.009251   0.001046   1.741949   0.363548
   0.191986   1.224427   1.988797   0.804365  -0.909118  -0.917762   0.078536  -0.137363   0.797442  -0.011199   0.001309   1.739984   0.364086
   0.209440   1.222710   1.986705   0.805194  -0.908564  -0.918513   0.093401  -0.143501   0.797222  -0.013331   0.001611   1.737830   0.364436
   0.226893   1.220843   1.984398   0.806112  -0.907823  -0.919033   0.108183  -0.149557   0.797126  -0.015648   0.001953   1.735489   0.364589
   0.244346   1.218827   1.981865   0.807127  -0.906888  -0.919314   0.123202  -0.155849   0.797160  -0.018148   0.002338   1.732959   0.364536
   0.261799   1.216661   1.979104   0.808240  -0.905757  -0.919354   0.138089  -0.162010   0.797325  -0.020829   0.002768   1.730243   0.364274
   0.279253   1.214347   1.976229   0.809407  -0.904485  -0.919208   0.153184  -0.168378   0.797578  -0.023692   0.003245   1.727341   0.363870
   0.296706   1.211884   1.973221   0.810638  -0.903060  -0.918863   0.168192  -0.174659   0.797928  -0.026734   0.003772   1.724254   0.363311
   0.314159   1.209273   1.970009   0.811963  -0.901446  -0.918284   0.183453  -0.181194   0.798405  -0.029954   0.004351   1.720982   0.362550
   0.331613   1.206514   1.966605   0.813378  -0.899647  -0.917473   0.198585  -0.187599   0.799006  -0.033350   0.004984   1.717527   0.361589
   0.349066   1.203607   1.963046   0.814871  -0.897678  -0.916447   0.213959  -0.194247   0.799720  -0.036920   0.005675   1.713891   0.360448
   0.366519   1.200554   1.959297   0.816459  -0.895522  -0.915185   0.229208  -0.200769   0.800561  -0.040662   0.006423   1.710075   0.359102
   0.383972   1.197354   1.955382   0.818133  -0.893186  -0.913698   0.244694  -0.207529   0.801523  -0.044574   0.007233   1.706080   0.357560
   0.401426   1.194008   1.951302   0.819898  -0.890670  -0.911982   0.260046  -0.214154   0.802609  -0.048653   0.008107   1.701909   0.355819
   0.418879   1.190517   1.947043   0.821759  -0.887963  -0.910028   0.275644  -0.221025   0.803825  -0.052897   0.009045   1.697562   0.353865
   0.436332   1.186881   1.942629   0.823711  -0.885075  -0.907845   0.291090  -0.227744   0.805167  -0.057303   0.010051   1.693043   0.351706
   0.453786   1.183101   1.938042   0.825764  -0.881994  -0.905421   0.306791  -0.234719   0.806643  -0.061868   0.011125   1.688353   0.349327
   0.471239   1.179178   1.933301   0.827914  -0.878726  -0.902762   0.322326  -0.241528   0.808251  -0.066589   0.012272   1.683495   0.346731
   0.488692   1.175113   1.928395   0.830167  -0.875263  -0.899860   0.338125  -0.248599   0.809997  -0.071463   0.013491   1.678470   0.343905
   0.506145   1.170907   1.923337   0.832524  -0.871606  -0.896715   0.353745  -0.255493   0.811880  -0.076487   0.014784   1.673283   0.340851
   0.523599   1.166559   1.918121   0.834989  -0.867751  -0.893323   0.369635  -0.262656   0.813907  -0.081656   0.016154   1.667935   0.337556
   0.541052   1.162072   1.912758   0.837562  -0.863698  -0.889685   0.385334  -0.269628   0.816077  -0.086968   0.017602   1.662429   0.334018
   0.558505   1.157446   1.907241   0.840250  -0.859441  -0.885793   0.401310  -0.276878   0.818397  -0.092419   0.019130   1.656769   0.330226
   0.575959   1.152683   1.901584   0.843054  -0.854980  -0.881648   0.417082  -0.283924   0.820868  -0.098003   0.020739   1.650957   0.326175
   0.593412   1.147783   1.895780   0.845978  -0.850309  -0.877244   0.433141  -0.291255   0.823496  -0.103719   0.022429   1.644997   0.321855
   0.610865   1.142747   1.889838   0.849026  -0.845428  -0.872581   0.448981  -0.298369   0.826282  -0.109560   0.024203   1.638892   0.317258
   0.628319   1.137576   1.883760   0.852201  -0.840332  -0.867653   0.465117  -0.305778   0.829233  -0.115524   0.026061   1.632646   0.312373
   0.645772   1.132273   1.877548   0.855508  -0.835017  -0.862458   0.481021  -0.312955   0.832352  -0.121604   0.028005   1.626262   0.307191
   0.663225   1.126837   1.871208   0.858951  -0.829481  -0.856991   0.497229  -0.320437   0.835643  -0.127798   0.030035   1.619744   0.301700
   0.680678   1.121270   1.864740   0.862535  -0.823718  -0.851248   0.513192  -0.327673   0.839114  -0.134100   0.032152   1.613097   0.295888
   0.698132   1.115574   1.858150   0.866266  -0.817725  -0.845226   0.529470  -0.335225   0.842767  -0.140505   0.034356   1.606323   0.289743
   0.715585   1.109750   1.851442   0.870148  -0.811497  -0.838919   0.545486  -0.342514   0.846611  -0.147008   0.036648   1.599428   0.283250
   0.733038   1.103799   1.844618   0.874187  -0.805030  -0.832324   0.561830  -0.350131   0.850650  -0.153604   0.039029   1.592415   0.276394
   0.750492   1.097722   1.837683   0.878390  -0.798318  -0.825434   0.577894  -0.357469   0.854892  -0.160289   0.041498   1.585289   0.269160
   0.767945   1.091521   1.830642   0.882764  -0.791356  -0.818245   0.594300  -0.365149   0.859344  -0.167056   0.044055   1.578054   0.261528
   0.785398   1.085198   1.823498   0.887315  -0.784138  -0.810751   0.610409  -0.372530   0.864013  -0.173901   0.046701   1.570716   0.253482
   0.802851   1.078754   1.816254   0.892051  -0.776659  -0.802946   0.626874  -0.380268   0.868907  -0.180818   0.049435   1.563279   0.245001
   0.820305   1.072190   1.808916   0.896980  -0.768911  -0.794823   0.643022  -0.387690   0.874036  -0.187801   0.052256   1.555747   0.236061
   0.837758   1.065509   1.801489   0.902113  -0.760887  -0.786376   0.659542  -0.395484   0.879409  -0.194845   0.055165   1.548126   0.226639
   0.855211   1.058711   1.793976   0.907456  -0.752580  -0.777597   0.675723  -0.402938   0.885037  -0.201944   0.058160   1.540421   0.216710
   0.872665   1.051799   1.786381   0.913022  -0.743983  -0.768479   0.692296  -0.410784   0.890929  -0.209093   0.061240   1.532637   0.206246
   0.890118   1.044774   1.778711   0.918821  -0.735087  -0.759012   0.708507  -0.418268   0.897099  -0.216286   0.064405   1.524779   0.195214
   0.907571   1.037638   1.770971   0.924867  -0.725880  -0.749188   0.725129  -0.426164   0.903560  -0.223516   0.067653   1.516852   0.183579
   0.925025   1.030393   1.763163   0.931171  -0.716356  -0.738997   0.741361  -0.433669   0.910325  -0.230778   0.070983   1.508863   0.171309
   0.942478   1.023040   1.755294   0.937747  -0.706504  -0.728431   0.758028  -0.441610   0.917409  -0.238065   0.074393   1.500817   0.158361
   0.959931   1.015581   1.747369   0.944611  -0.696311  -0.717476   0.774277  -0.449132   0.924829  -0.245373   0.077881   1.492720   0.144692
   0.977384   1.008019   1.739393   0.951782  -0.685764  -0.706119   0.790988  -0.457116   0.932604  -0.252694   0.081446   1.484577   0.130249
   0.994838   1.000355   1.731373   0.959278  -0.674849  -0.694348   0.807244  -0.464646   0.940755  -0.260023   0.085085   1.476394   0.114980
   1.012291   0.992591   1.723312   0.967118  -0.663555  -0.682150   0.823989  -0.472664   0.949300  -0.267353   0.088796   1.468178   0.098829
   1.029744   0.984728   1.715216   0.975322  -0.651865  -0.669509   0.840243  -0.480192   0.958264  -0.274679   0.092577   1.459934   0.081729
   1.047198   0.976770   1.707091   0.983918  -0.639762  -0.656409   0.857022  -0.488243   0.967674  -0.281993   0.096424   1.451670   0.063607
   1.064651   0.968718   1.698945   0.992934  -0.627224  -0.642828   0.873265  -0.495760   0.977560  -0.289291   0.100335   1.443390   0.044376
   1.082104   0.960573   1.690781   1.002400  -0.614231  -0.628745   0.890067  -0.503836   0.987956  -0.296565   0.104307   1.435103   0.023944
   1.099557   0.952339   1.682607   1.012349  -0.600762  -0.614142   0.906276  -0.511318   0.998894  -0.303809   0.108336   1.426814   0.002212
   1.117011   0.944017   1.674429   1.022813  -0.586796  -0.598996   0.923089  -0.519404   1.010410  -0.311016   0.112419   1.418530  -0.020927
   1.134464   0.935610   1.666252   1.033837  -0.572302  -0.583278   0.939251  -0.526839   1.022552  -0.318182   0.116551   1.410258  -0.045612
   1.151917   0.927119   1.658084   1.045472  -0.557248  -0.566955   0.956067  -0.534929   1.035372  -0.325298   0.120729   1.402006  -0.071996
   1.169371   0.918546   1.649933   1.057772  -0.541596  -0.549991   0.972153  -0.542288   1.048930  -0.332360   0.124949   1.393780  -0.100255
   1.186824   0.909895   1.641804   1.070797  -0.525311  -0.532349   0.988942  -0.550351   1.063288  -0.339360   0.129205   1.385587  -0.130581
   1.204277   0.901167   1.633704   1.084606  -0.508357  -0.513995   1.004897  -0.557579   1.078509  -0.346292   0.133493   1.377436  -0.163181
   1.221730   0.892364   1.625641   1.099279  -0.490686  -0.494881   1.021631  -0.565587   1.094678  -0.353150   0.137808   1.369334  -0.198319
   1.239184   0.883489   1.617623   1.114911  -0.472239  -0.474949   1.037413  -0.572642   1.111893  -0.359927   0.142143   1.361289  -0.236307
   1.256637   0.874543   1.609660   1.131616  -0.452942  -0.454125   1.054057  -0.580559   1.130278  -0.366616   0.146494   1.353309  -0.277529
   1.274090   0.865530   1.601757   1.149522  -0.432724  -0.432338   1.069558  -0.587334   1.149965  -0.373212   0.150852   1.345403  -0.322420
   1.291544   0.856452   1.593924   1.168741  -0.411526  -0.409531   1.085995  -0.595044   1.171075  -0.379708   0.155212   1.337580  -0.371417
   1.308997   0.847311   1.586170   1.189444  -0.389253  -0.385608   1.101073  -0.601396   1.193787  -0.386097   0.159567   1.329848  -0.425128
   1.326450   0.838109   1.578504   1.211854  -0.365774  -0.360440   1.117241  -0.608837   1.218336  -0.392373   0.163908   1.322217  -0.484342
   1.343904   0.828849   1.570939   1.236279  -0.340906  -0.333843   1.131685  -0.614554   1.245043  -0.398529   0.168227   1.314697  -0.550131
