         360
   gj         fig        sg         vg         ssv        ssv1       ttv        ttp        vg1        xp         yp         sg1        cp         t          f          d1         d2         xd1        yd1
   0.000000   1.484337   2.000000   0.900000  -0.782383  -0.830434  -0.022374  -0.156726   0.857776   0.000000   0.000000   2.092790   0.264220   0.000000  -4.010242   0.042379   0.023330   0.006615   0.041859
   0.017453   1.484251   1.999664   0.900142  -0.783766  -0.831942  -0.010343  -0.160031   0.857805  -0.000099   0.000016   2.092690   0.264171   0.000000  -3.107116   0.039046   0.023327   0.006123   0.038563
   0.034907   1.483993   1.999224   0.900328  -0.785021  -0.833321   0.001628  -0.163276   0.857876  -0.000396   0.000064   2.092389   0.264049   0.000003  -3.103951   0.039025   0.023320   0.005948   0.038570
   0.052360   1.483562   1.998666   0.900563  -0.786144  -0.834565   0.013791  -0.166712   0.857995  -0.000891   0.000147   2.091886   0.263844   0.000011  -3.113977   0.039036   0.023308   0.005586   0.038641
   0.069813   1.482958   1.997978   0.900855  -0.787126  -0.835670   0.025938  -0.170132   0.858168  -0.001585   0.000265   2.091183   0.263547   0.000027  -3.261405   0.039467   0.023291   0.005097   0.039162
   0.087266   1.482181   1.997147   0.901207  -0.787963  -0.836628   0.038272  -0.173739   0.858401  -0.002477   0.000420   2.090277   0.263148   0.000053  -3.406918   0.039907   0.023269   0.004421   0.039726
   0.104720   1.481230   1.996160   0.901627  -0.788648  -0.837432   0.050593  -0.177333   0.858698  -0.003568   0.000613   2.089169   0.262638   0.000091  -3.559384   0.040391   0.023240   0.003557   0.040371
   0.122173   1.480105   1.995004   0.902120  -0.789175  -0.838078   0.063097  -0.181111   0.859065  -0.004857   0.000847   2.087859   0.262007   0.000145  -3.716936   0.040919   0.023205   0.002514   0.041097
   0.139626   1.478806   1.993667   0.902692  -0.789537  -0.838558   0.075585  -0.184873   0.859509  -0.006344   0.001122   2.086348   0.261245   0.000216  -3.878088   0.041496   0.023162   0.001284   0.041911
   0.157080   1.477332   1.992134   0.903349  -0.789728  -0.838865   0.088251  -0.188812   0.860035  -0.008028   0.001441   2.084634   0.260340   0.000308  -4.045769   0.042145   0.023112  -0.000117   0.042837
   0.174533   1.475684   1.990393   0.904099  -0.789741  -0.838993   0.100891  -0.192725   0.860649  -0.009908   0.001804   2.082718   0.259283   0.000423  -4.211306   0.042837   0.023054  -0.001704   0.043847
   0.191986   1.473862   1.988438   0.904945  -0.789571  -0.838937   0.113696  -0.196803   0.861356  -0.011985   0.002214   2.080601   0.258066   0.000563  -4.344275   0.043409   0.022987  -0.003497   0.044785
   0.209440   1.471865   1.986270   0.905887  -0.789219  -0.838698   0.126460  -0.200841   0.862156  -0.014257   0.002671   2.078284   0.256687   0.000731  -4.465022   0.043947   0.022912  -0.005490   0.045734
   0.226893   1.469693   1.983877   0.906934  -0.788676  -0.838267   0.139382  -0.205037   0.863055  -0.016722   0.003179   2.075767   0.255136   0.000930  -4.615283   0.044699   0.022829  -0.007621   0.046942
   0.244346   1.467348   1.981246   0.908090  -0.787937  -0.837638   0.152246  -0.209173   0.864061  -0.019380   0.003737   2.073051   0.253399   0.001162  -4.734500   0.045300   0.022736  -0.009974   0.048050
   0.261799   1.464828   1.978398   0.909351  -0.787009  -0.836819   0.165225  -0.213425   0.865166  -0.022230   0.004348   2.070137   0.251487   0.001430  -4.672896   0.044688   0.022634  -0.012764   0.048023
   0.279253   1.462135   1.975443   0.910669  -0.785944  -0.835861   0.178122  -0.217596   0.866327  -0.025269   0.005014   2.067025   0.249478   0.001735  -4.636905   0.044248   0.022528  -0.015717   0.048218
   0.296706   1.459267   1.972329   0.912068  -0.784716  -0.834739   0.191202  -0.221950   0.867565  -0.028497   0.005735   2.063718   0.247331   0.002080  -4.648345   0.044099   0.022416  -0.018789   0.048752
   0.314159   1.456227   1.968991   0.913579  -0.783290  -0.833419   0.204220  -0.226241   0.868911  -0.031911   0.006513   2.060216   0.244993   0.002468  -4.735920   0.044430   0.022295  -0.021944   0.049811
   0.331613   1.453014   1.965478   0.915183  -0.781690  -0.831922   0.217379  -0.230673   0.870347  -0.035510   0.007350   2.056521   0.242496   0.002901  -4.729504   0.044132   0.022166  -0.025420   0.050313
   0.349066   1.449628   1.961791   0.916882  -0.779913  -0.830247   0.230475  -0.235043   0.871874  -0.039292   0.008247   2.052634   0.239835   0.003381  -4.765528   0.044101   0.022031  -0.029021   0.051136
   0.366519   1.446070   1.957906   0.918690  -0.777945  -0.828380   0.243722  -0.239563   0.873505  -0.043254   0.009205   2.048558   0.236988   0.003911  -4.785966   0.043952   0.021887  -0.032826   0.051902
   0.383972   1.442341   1.953857   0.920593  -0.775801  -0.826334   0.256888  -0.244002   0.875228  -0.047395   0.010227   2.044293   0.233975   0.004492  -4.790136   0.043678   0.021737  -0.036843   0.052611
   0.401426   1.438441   1.949623   0.922604  -0.773469  -0.824099   0.270214  -0.248601   0.877055  -0.051712   0.011312   2.039841   0.230775   0.005127  -4.816357   0.043537   0.021579  -0.041000   0.053511
   0.418879   1.434371   1.945216   0.924720  -0.770951  -0.821677   0.283451  -0.253112   0.878983  -0.056203   0.012463   2.035206   0.227389   0.005817  -4.824252   0.043258   0.021414  -0.045370   0.054342
   0.436332   1.430131   1.940639   0.926945  -0.768245  -0.819065   0.296850  -0.257784   0.881015  -0.060864   0.013680   2.030388   0.223813   0.006565  -4.839878   0.043016   0.021242  -0.049898   0.055274
   0.453786   1.425723   1.935887   0.929283  -0.765347  -0.816259   0.310157  -0.262365   0.883155  -0.065694   0.014965   2.025390   0.220037   0.007373  -4.851388   0.042730   0.021062  -0.054611   0.056233
   0.471239   1.421147   1.930971   0.931733  -0.762258  -0.813261   0.323625  -0.267106   0.885403  -0.070689   0.016320   2.020215   0.216061   0.008242  -4.861119   0.042418   0.020876  -0.059493   0.057233
   0.488692   1.416403   1.925885   0.934302  -0.758973  -0.810065   0.336997  -0.271752   0.887766  -0.075846   0.017744   2.014865   0.211872   0.009175  -4.872500   0.042101   0.020683  -0.064545   0.058300
   0.506145   1.411494   1.920640   0.936989  -0.755492  -0.806671   0.350532  -0.276560   0.890242  -0.081162   0.019239   2.009342   0.207470   0.010173  -4.880123   0.041744   0.020483  -0.069764   0.059397
   0.523599   1.406419   1.915231   0.939801  -0.751811  -0.803075   0.363967  -0.281268   0.892837  -0.086634   0.020806   2.003650   0.202842   0.011237  -4.890304   0.041390   0.020275  -0.075145   0.060569
