         200
   s          vs         fis
   0.000000  -0.800000   0.756995
   0.010000  -0.800000   0.748995
   0.020000  -0.800000   0.740995
   0.030000  -0.800000   0.732995
   0.040000  -0.800000   0.724995
   0.050000  -0.800000   0.716995
   0.060000  -0.800000   0.708995
   0.070000  -0.800000   0.700995
   0.080000  -0.800000   0.692995
   0.090000  -0.800000   0.684995
   0.100000  -0.800000   0.676995
   0.110000  -0.800000   0.668995
   0.120000  -0.800000   0.660995
   0.130000  -0.800000   0.652995
   0.140000  -0.800000   0.644995
   0.150000  -0.800000   0.636995
   0.160000  -0.800000   0.628995
   0.170000  -0.800000   0.620995
   0.180000  -0.800000   0.612995
   0.190000  -0.800000   0.604995
   0.200000  -0.800000   0.596995
   0.210000  -0.800000   0.588995
   0.220000  -0.800000   0.580995
   0.230000  -0.800000   0.572995
   0.240000  -0.800000   0.564995
   0.250000  -0.800000   0.556995
   0.260000  -0.800000   0.548995
   0.270000  -0.800000   0.540995
   0.280000  -0.800000   0.532995
   0.290000  -0.800000   0.524995
   0.300000  -0.800000   0.516995
   0.310000  -0.800000   0.508995
   0.320000  -0.800000   0.500995
   0.330000  -0.800000   0.492995
   0.340000  -0.800000   0.484995
   0.350000  -0.800000   0.476995
   0.360000  -0.800000   0.468995
   0.370000  -0.800000   0.460995
   0.380000  -0.800000   0.452995
   0.390000  -0.800000   0.444995
   0.400000  -0.800000   0.436995
   0.410000  -0.800000   0.428995
   0.420000  -0.800000   0.420995
   0.430000  -0.800000   0.412995
   0.440000  -0.800000   0.404995
   0.450000  -0.800000   0.396995
   0.460000  -0.800000   0.388995
   0.470000  -0.800000   0.380995
   0.480000  -0.800000   0.372995
   0.490000  -0.800000   0.364995
   0.500000  -0.800000   0.356995
   0.510000  -0.800000   0.348995
   0.520000  -0.800000   0.340995
   0.530000  -0.800000   0.332995
   0.540000  -0.800000   0.324995
   0.550000  -0.800000   0.316995
   0.560000  -0.800000   0.308995
   0.570000  -0.800000   0.300995
   0.580000  -0.800000   0.292995
   0.590000  -0.800000   0.284995
   0.600000  -0.800000   0.276995
   0.610000  -0.800000   0.268995
   0.620000  -0.800000   0.260995
   0.630000  -0.800000   0.252995
   0.640000  -0.800000   0.244995
   0.650000  -0.800000   0.236995
   0.660000  -0.800000   0.228995
   0.670000  -0.800000   0.220995
   0.680000  -0.800000   0.212995
   0.690000  -0.800000   0.204995
   0.700000  -0.800000   0.196995
   0.710000  -0.800000   0.188995
   0.720000  -0.800000   0.180995
   0.730000  -0.800000   0.172995
   0.740000  -0.800000   0.164995
   0.750000  -0.800000   0.156995
   0.760000  -0.800000   0.148995
   0.770000  -0.800000   0.140995
   0.780000  -0.800000   0.132995
   0.790000  -0.800000   0.124995
   0.800000  -0.800000   0.116995
   0.810000  -0.800000   0.108995
   0.820000  -0.800000   0.100995
   0.830000  -0.800000   0.092995
   0.840000  -0.800000   0.084995
   0.850000  -0.800000   0.076995
   0.860000  -0.800000   0.068995
   0.870000  -0.800000   0.060995
   0.880000  -0.800000   0.052995
   0.890000  -0.800000   0.044995
   0.900000  -0.800000   0.036959
   0.910000  -0.713333   0.029356
   0.920000  -0.626667   0.022656
   0.930000  -0.540000   0.016823
   0.940000  -0.453333   0.011856
   0.950000  -0.366667   0.007756
   0.960000  -0.280000   0.004523
   0.970000  -0.193333   0.002156
   0.980000  -0.106667   0.000656
   0.990000  -0.020000   0.000023
   1.000000   0.066667   0.000256
   1.010000   0.153333   0.001356
   1.020000   0.240000   0.003323
   1.030000   0.326667   0.006156
   1.040000   0.413333   0.009856
   1.050000   0.500000   0.014423
   1.060000   0.586667   0.019856
   1.070000   0.673333   0.026156
   1.080000   0.760000   0.033323
   1.090000   0.846667   0.041356
   1.100000   0.933333   0.050256
   1.110000   1.020000   0.060023
   1.120000   1.106667   0.070656
   1.130000   1.193333   0.082156
   1.140000   1.280000   0.094523
   1.150000   1.366667   0.107756
   1.160000   1.453333   0.121856
   1.170000   1.540000   0.136823
   1.180000   1.626667   0.152656
   1.190000   1.713333   0.169356
   1.200000   1.800000   0.186995
   1.210000   1.800000   0.204995
   1.220000   1.800000   0.222995
   1.230000   1.800000   0.240995
   1.240000   1.800000   0.258995
   1.250000   1.800000   0.276995
   1.260000   1.800000   0.294995
   1.270000   1.800000   0.312995
   1.280000   1.800000   0.330995
   1.290000   1.800000   0.348995
   1.300000   1.800000   0.366995
   1.310000   1.800000   0.384995
   1.320000   1.800000   0.402995
   1.330000   1.800000   0.420995
   1.340000   1.800000   0.438995
   1.350000   1.800000   0.456995
   1.360000   1.800000   0.474995
   1.370000   1.800000   0.492995
   1.380000   1.800000   0.510995
   1.390000   1.800000   0.528995
   1.400000   1.800000   0.546995
   1.410000   1.800000   0.564995
   1.420000   1.800000   0.582995
   1.430000   1.800000   0.600995
   1.440000   1.800000   0.618995
   1.450000   1.800000   0.636995
   1.460000   1.800000   0.654995
   1.470000   1.800000   0.672995
   1.480000   1.800000   0.690995
   1.490000   1.800000   0.708995
   1.500000   1.800000   0.726995
   1.510000   1.628502   0.744239
   1.520000   1.516435   0.759937
   1.530000   1.434692   0.774675
   1.540000   1.371109   0.788693
   1.550000   1.319510   0.802139
   1.560000   1.276360   0.815112
   1.570000   1.239453   0.827687
   1.580000   1.207333   0.839917
   1.590000   1.178986   0.851846
   1.600000   1.153682   0.863507
   1.610000   1.130880   0.874928
   1.620000   1.110167   0.886132
   1.630000   1.091222   0.897138
   1.640000   1.073790   0.907961
   1.650000   1.057668   0.918618
   1.660000   1.042687   0.929119
   1.670000   1.028711   0.939475
   1.680000   1.015624   0.949696
   1.690000   1.003329   0.959790
